悪衣悪食, あくいあくしょく, 衣服や食べ物が粗末であること
一字三礼, いちじさんらい, 写経するときに、一文字書くたびに三度礼拝すること。 敬虔けいけんな態度で写経しなさいという教え
一字千金, いちじせんきん, 一字が千金に値するほどの立派な文字や文章。 または厚い恩恵
一日千秋, いちじつせんしゅう, 一日が千年にも長く感じるという意味。 恋い慕う気持ちや待ち望む気持ちが非常に強いこと
一字不説, いちじふせつ, 仏教用語。悟りの境地は奥深く、言葉や文字で表すことはできず、自ら体得するしかないという教え
一時名流, いちじめいりゅう, その時代における名士。名声の高い人々
一入再入, いちじゅうさいじゅう, 布を染料に何度もつけて染めること。また、染めた色の濃いこと
一上一下, いちじょういちげ, 上がったり下がったりすること。転じて、状況に応じて物事を適切に処理する喩え
一場春夢, いちじょうしゅんむ, 春の夜に見るひとときだけの夢。転じて、人生の栄華が儚く消えてしまうことの喩え
一時流行, いちじりゅうこう, 蕉風俳論で用いる言葉。 その時代の雰囲気や流行を取り入れ、停滞を打破し、時々刻々に変化を重ねていくこと
一諾千金, いちだくせんきん, 信義が厚く、裏切らないことの喩え。 いったん承諾したら、それは千金にも値するほどの重みがあるということ
一団和気, いちだんのわき, 和なごやかな雰囲気。または親しみやすい態度のこと
一読三嘆, いちどくさんたん, 素晴らしい文章を読んで、非常に感銘を受けること
一日一善, いちにちいちぜん, 一日に一回は善い行いをすること。 また、それを毎日積み重ねるようにしなさいという呼びかけ
一日不食, いちにちふしょく, 仕事をしてからでないと食事をしないという意味で、労働の大切さを説いた言葉
一念通天, いちねんつうてん, 固い決意を抱いて一心に取り組めば、その努力は必ず実を結び、物事を成し遂げることができるということ
一念発起, いちねんほっき, 本来は仏教用語で、今までの気持ちを改めて仏道に入り、悟りを開こうと固く決心すること
一暴十寒, いちばくじっかん, 一日暖めて十日冷やす。 少しだけ努力して、あとは怠けることが多いこと
一病息災, いちびょうそくさい, 一つの持病があるために、健康に気を配ることにより、かえって健康を保っていること
一分一厘, いちぶいちりん, ごく僅かなことの形容。 「分」も「厘」も昔の貨幣などの単位で、きわめて小さい数を意味する
一部始終, いちぶしじゅう, 初めから終わりまで。物事の顛末
一望千里, いちぼうせんり, 遠くまで一目で見渡せること。広々として見晴らしの良いことの形容
一木一草, いちぼくいっそう, 1本の木と1本の草で、転じて、極めて少ないものや取るに足りないものの喩えとして用いる
一味同心, いちみどうしん, 同じ目的で集まり、心を一つにすること。 「一味」は同じ目的をもつ同志
一目十行, いちもくじゅうぎょう, 書物などを一目見ただけで、すぐに十行分を読むことができるという意味で、速く読む力が卓越していることの喩え
一問一答, いちもんいっとう, 一つの質問にたいして一つの答えをすること。 転じて、質問と返答とを何度も繰り返し行うこと
一文不通, いちもんふつう, 無学で読み書きを知らないこと。 文字の一つも通じないことを意味する
一夜検校, いちやけんぎょう, 急に金持ちになること
一夜十起, いちやじっき, 人は多かれ少なかれ必ず私情や私心に左右される。それらを捨て去ることは非常に難しいということの喩え
一夜大尽, いちやだいじん, 急に大金持ちになること。 俄分限にわかぶげん
一葉知秋, いちようちしゅう, 一枚の葉が落ちたのを見て、秋の訪れに気づくという意味で、僅かな兆しから、物事の本質や変化、衰退などを察知すること
一陽来復, いちようらいふく, 悪いことが続いた後、ゆっくりと幸運の兆しが現れ始めること。 「一陽来福」と書くのは誤用
一利一害, いちりいちがい, 物事には全てなんらかの利益がある反面、他方で害があること
一粒万倍, いちりゅうまんばい, わずかなものから、非常に多くの利益を得ることのたとえ
一六勝負, いちろくしょうぶ, サイコロを振って、目に一が出るか六が出るかをかけて勝負すること。 運任せの冒険的な行動のこと
一路順風, いちろじゅんぷう, 物事が思い通りに順調に運ぶこと。 または、旅立つ人の道中の無事を祈ることば
一路平安, いちろへいあん, 中国語で「道中の無事を祈ります」の意味。 旅人の道中の平安無事を祈って使う言葉
一騎当千, いっきとうせん, 一人の騎兵で千人もの敵を相手にできること。 卓越した能力を持ち、人並みはずれた業績を挙げること
一球入魂, いっきゅうにゅうこん, 野球から生まれた造語で、一球一球を全力で投ずることを表す
一挙一動, いっきょいちどう, ひとつひとつの動作や行動。振る舞いのこと
一挙両失, いっきょりょうしつ, 一つの行動が原因になって、同時に他のことまで損害が及ぶこと
一挙両得, いっきょりょうとく, 一つの行動で二つの利益を得ること。 一度に二つの目的が叶うこと
一件落着, いっけんらくちゃく, ある事件や事案が余すところなくすっかり解決又は決着すること
一口両舌, いっこうりょうぜつ, 前に言ったことと、後で言ったことが違うこと。二枚舌
一国一城, いっこくいちじょう, 一つの国を領し、一つの城を有すること。 転じて、他の干渉や援助を受けずに独立していること
一刻千金, いっこくせんきん, わずかな時間が千金に値するほど貴重であるという意味。 時間の貴重なことの喩え
一切合切, いっさいがっさい, なにもかもすべて。 「一切」と「合切」は共に「残らず全部」という意味
一切衆生, いっさいしゅじょう, 仏教用語で、この世に存在するすべてのものを表す。 特に人間のこと
一死七生, いっししちしょう, 仏教用語。一度死んで、七度この世に生まれ変わること
一子相伝, いっしそうでん, 学問や技芸などの奥義を、我が子の一人だけに伝えて、決して他には秘密を漏らさず受け継いでいくこと
一紙半銭, いっしはんせん, ごく僅かな金銭の喩え。 仏教の教団では、寄付の金額が少ないことにいう
一死報国, いっしほうこく, 命を捨てて国のために尽くすこと。我が身を顧みずに国家のために働くこと
一宿一飯, いっしゅくいっぱん, 旅先などで、一晩泊めてもらい、一度の食事を恵んでもらうこと。通りがかりに立ち寄って、ちょっとした世話になること
一唱三嘆, いっしょうさんたん, 一度詩文を読んで、何度も感嘆すること。 素晴らしい詩文を賞賛する際に使う四字熟語
一笑千金, いっしょうせんきん, 美人が一度微笑めば、千金の価値があるという意味。 また、美しい女性を指す言葉として用いられる
一所不住, いっしょふじゅう, 決まった場所に住まず、各地を転々とすること。 僧侶が修行のために諸国を行脚して回ることを表す場合が多い
一進一退, いっしんいったい, 進んだり退いたりすること。 また、事態や病状、情勢などが良くなったり悪くなったりする様子
一心同体, いっしんどうたい, 複数の人間が心も体も一つになるほど強く結びつくこと
一心不乱, いっしんふらん, 何か一つのことに心を集中して、周りのことには見向きもしない様子。他のことに心を奪われないこと
一水四見, いっすいしけん, 同じものでも、人によってそれぞれ見方も異なるという意味。 類義語：「一処四見」「一境四見」
一酔千日, いっすいせんにち, 極めて美味しいお酒。 宋の時代
一世一代, いっせいちだい, 一生のうちで二度とないような重大なこと。 また、普段と違い際立ったことをすること
一石二鳥, いっせきにちょう, 一つの石を投げて、二羽の鳥を同時に捕らえるという意味で、一つの行為や苦労で二つの目的を同時に果たす喩え
一殺多生, いっせつたしょう, 仏教用語。大勢を救済するために、悪人を一人犠牲にすることは望ましくはないが仕方がないという教え
一体分身, いったいぶんしん, 一つの物事をもとにして、そこから他の複数の物事に分かれること
一治一乱, いっちいちらん, 世の中が治まったり乱れたりと繰り返し変化する様子
一知半解, いっちはんかい, 知識や理解が中途半端で役に立たないこと。 生半可な知識
一朝一夕, いっちょういっせき, 朝と夕とが一回ずつのことで、わずかな期間という意味。 非常に短い時間
一長一短, いっちょういったん, 長所もあれば短所もあるということ。 同義語：「一短一長」
一超直入, いっちょうじきにゅう, ひとたび迷いや苦悩を超越してしまえば、すぐに悟りの境地に達することができるという禅宗の概念
一朝富貴, いっちょうのふうき, 思いがけず、ある突然に高い地位や多くの財産を得ること。 「一朝」は、ある朝突然に、思いもよらずにわかにという意味
一点一画, いってんいっかく, 文字の一つ一つの細部にまで気を遣い、丁寧に書くこと。 主に「一点一画も疎おろそかにしない」と使うことが多い
一天四海, いってんしかい, 天の下と四方の海という意味で、全世界を表す。 「一天」は天の下すべて、一つの天下、天下全体
一天地六, いってんちろく, サイコロのこと
一天万乗, いってんばんじょう, 天下を治める天子や天皇のこと
一刀両断, いっとうりょうだん, 一太刀で真っ二つにすること。 躊躇なく、物事を思い切って処理すること
一得一失, いっとくいっしつ, 一方で利益があると、他方で損失があること
一発必中, いっぱつひっちゅう, 弓の矢や銃の弾などを、一発で必ず命中させること。 ただ一度の試みで成功すること
一筆啓上, いっぴつけいじょう, 男性が手紙の冒頭に書く定型的な挨拶の言葉。起首
一歩千金, いっぷせんきん, 将棋の格言。最も弱く価値が低い駒である「歩」も、局面によっては「金」以上の働きをするという意味
一夫多妻, いっぷたさい, 一人の男性が、二人以上の女性を妻にすること
一片氷心, いっぺんひょうしん, 清らかに澄んだ美しい心のこと
一本調子, いっぽんぢょうし, 音楽や文章、話し方などについて、同じような調子が続いて面白みがなく変化に乏しいこと。単調
意味深長, いみしんちょう, 人の行動や文章など表現が奥深い趣を含んでいる様子。 また、表面上の意味の他に、別の意味や含蓄が隠されていること
異路同帰, いろどうき, 異なった方法でも、同じ結果になること。 本来は「違う道を通っても同じ場所に到着する」という意味
岩戸景気, いわとけいき, 昭和33年（1958年）7月から、昭和36年（1961年）12月まで、42か月間続いた高度経済成長時代の好景気の通称...
引古証今, いんこしょうこん, 古代の文献・史実・伝承などを引用して、現在の事柄を証明しようとすること
因小失大, いんしょうしつだい, 目先の小さな利益を得ようとして、大きな損失を出すこと。 「小に因よりて大を失う」と訓読する
飲水思源, いんすいしげん, 水を飲むときに、その水源に思いを及ぼすこと
陰陽五行, いんようごぎょう, 「陰陽思想いんようしそう」と「五行思想ごぎょうしそう」を一つにまとめたもの
右往左往, うおうさおう, 混乱して、右に行ったり左に行ったりすること。 取り乱して慌てること
雨過天晴, うかてんせい, 鬱陶しい雨が止んで青空が広がる。 物事の悪い状況が好転する喩え
有頂天外, うちょうてんがい, 仏教で「有頂天」は一番上にあるとされる天のこと。 それを超える状態で、この上なく大喜びすることを意味する
海千山千, うみせんやません, 長い年月に様々な経験を積んで、世の中の裏も表も知り尽くしていること。 「海に千年、山に千年」の略
有無相生, うむそうせい, 有と無は、有があってこそ無があり、無があってこそ有があるという相対的な関係で存在するという考え方
雲行雨施, うんこううし, 雲が流れ動いて雨が降り、大地を潤して恩恵を施すこと。 天下が太平であることの喩えにも用いる
雲心月性, うんしんげっせい, 無私無欲の喩え。 名誉や利益を求めることなく超然としていること
雲水行脚, うんすいあんぎゃ, 僧侶が様々な国を巡礼しながら仏教の修行をすること
永字八法, えいじはっぽう, 書の教えでは、すべての文字の書き方の基礎が「永」の一字に含まれているとされる。 「八法」は書の八つの運筆のこと
永世中立, えいせいちゅうりつ, 国家がみずから他国に対して武力を行使せず、また他国間の戦争にも参加せず、武力行使を義務とする同盟などは締結しないこと...
益者三楽, えきしゃさんごう, 有益な三つの楽しみ
益者三友, えきしゃさんゆう, 交際して益のある三種の友人。正直な人、誠実な人、知識のある人
回向発願, えこうほつがん, 自分が積んだ功徳を他者にも振り向け、極楽往生を願うこと。 別表記：「廻向発願」
得手勝手, えてかって, わがままなこと。 他人のことは考えず、自分の都合ばかりを考えて好き勝手に行動すること
遠交近攻, えんこうきんこう, 兵法三十六計の第二十三計。 「遠きと交わり近きを攻める」と訓読する
遠水近火, えんすいきんか, 遠い所にあるものは急場の役には立たないということ。 「遠水は近火を救わず」を略した言葉
円頂黒衣, えんちょうこくい, 僧侶の姿のこと。 「円頂」は髪を剃った頭
円頭方足, えんとうほうそく, 人間のこと。 「円頭」は丸い頭
円満具足, えんまんぐそく, 充分に満ち足りて不足のないこと。 「円満」と「具足」はどちらも不足することなく、充分に備わっているという意味
円満退社, えんまんたいしゃ, 職場の上司や同僚の理解を得て、誰にも迷惑をかけず、職務の始末を済ませて気持ちよく退職すること
王公貴人, おうこうきじん, 王や皇帝、諸侯など、身分の高い人
往古来今, おうこらいこん, 過去から現在に至るまでの時間の流れ。昔から今まで
黄金時代, おうごんじだい, 最も栄えている時期。理想的な時代
黄金分割, おうごんぶんかつ, 線分を約1.618対1に分けること。 黄金比とも呼ばれ、古代ギリシャ以来、最も調和的で美しい比率とされている
王政復古, おうせいふっこ, 武家政治や共和制が廃止されて、元の君主政治に戻ること。 日本では主に明治維新のことを指す
王道楽土, おうどうらくど, 公正な政治によって治められている平和な国のこと。 1932年の満州国建国の際の理念
傍目八目, おかめはちもく, 自分で打っているとなかなか先が読めない碁も、他人が打っているのを傍から見物している場合には八目先まで見通せるという意...
億万長者, おくまんちょうじゃ, 多くの金品や財産を持っている人。大金持ち
汚名返上, おめいへんじょう, マイナスの評判を取り下げ、ゼロ状態、又はプラスの評判にしようとすること
温故知新, おんこちしん, 昔の事柄や前に習ったことを復習して、新しい知識を見い出すこと
音信不通, おんしんふつう, 便りや連絡が途絶えて、まったく様子がわからないこと。 消息が途絶えて安否不明であること
開雲見日, かいうんけんじつ, 日の光を遮る雲が吹き去って、再び明るくなる様子
改過自新, かいかじしん, 自分のミスを認めて、心を入れ替え再出発すること。 「過ちを改め自ら新たにす」と訓読する
開口一番, かいこういちばん, 口を開いて一番最初に発する言葉。 いきなり話し始めること
回光返照, かいこうへんしょう, 夕日の照り返し。 日没直前に一時空が明るくなること
回山倒海, かいざんとうかい, 山を転ころがし、海をひっくり返すほど盛んな勢いのこと。 「山やまを回めぐらし海うみを倒たおす」と訓読する
開心見誠, かいしんけんせい, 誠意をもって人に接すること。また隠し事をせず心の底を打ち明けること
回心転意, かいしんてんい, 今までのことを反省して態度を改めること。心を入れかえること
下意上達, かいじょうたつ, 身分や職位が下位の者の気持ちや意見が上位にある人に届くこと
階前万里, かいぜんばんり, 遥か彼方の出来事も手近にあるかのように理解していること
回天事業, かいてんじぎょう, 世の中を一変させるほどの偉大な事業。 「回天」は、天を回転させるという意味から転じて、天下の情勢を一変させること
夏下冬上, かかとうじょう, 炭火の起こし方の口伝。 夏は火種を下に、冬は火種を上に置くと、よく燃えるという言い伝え
下学上達, かがくじょうたつ, 始めは身近にある簡単なことから学び、次第に少しずつ難しいことを学ぶという孔子の教え。 「下学して上達す」と訓読する
各人各様, かくじんかくよう, 人それぞれ。様々であるということ
家書万金, かしょばんきん, 孤独な旅先、異国での生活で、家族からの手紙は何よりも嬉しいということ。 「家書」は、家から届いた手紙のこと
火樹銀花, かじゅぎんか, 夜の街の灯り。または明るく輝く夜景
片八百長, かたやおちょう, 相手の事情に同情して、全力を出さず勝ちを譲ること。一人八百長
夏虫疑氷, かちゅうぎひょう, 見識や見聞が狭い人のこと。 夏しか生きられない虫は、冬の寒さを知らないため氷の存在さえも疑うという意味
花鳥月露, かちょうげつろ, 自然の美しい景色。 花、鳥、月夜におりると露を意味する
花鳥風月, かちょうふうげつ, 美しい自然の風景。また、それを題材とした詩歌や絵画など、風流を嗜むこと
活計歓楽, かっけいかんらく, 自由気ままに暮らすこと。喜びのある楽しい生活
花天月地, かてんげっち, 花が美しく咲き乱れ、月の光が明るく大地を照らしている風景。春の月夜の景色
歌舞音曲, かぶおんきょく, 歌や踊りや楽器演奏などの総称。または、それらに関係する華やかな芸能のこと
上御一人, かみごいちにん, 天皇の尊称。または国王、皇帝
寒山拾得, かんざんじっとく, 唐の時代の伝説上の高僧、寒山かんざんと拾得じっとく
観測気球, かんそくききゅう, 高層気象の観測のために上げる気球。 偵察用のために上げる気球
観天望気, かんてんぼうき, 空模様や生物の行動などを観察して、経験をもとに天気を予想する方法
感応道交, かんのうどうこう, 仏教用語。仏と人間の気持ち、また教える者と教えられる者の気持ちが通じ合うこと
外交辞令, がいこうじれい, 交渉を円滑に進めるための外交上の社交辞令。口先だけのお世辞
学知利行, がくちりこう, 人が進むべき道を、後天的に学んで理解し、意識して実行すること
月宮天子, がっくうてんし, 元はバラモン教の神であったが後に仏教に取り入れられた。仏法守護の十二天の一人
我田引水, がでんいんすい, 自分の都合の良いように考え行動すること
眼高手低, がんこうしゅてい, 理想は高いが実力が伴わないこと。 また、知識はあり、あれこれ批評するが、実際にはそれをこなす能力がないこと
期間限定, きかんげんてい, 定められた期間中に特別に販売やサービスを行うこと
起死回生, きしかいせい, 危機的な状況から一変して勢いを盛り返すこと。 「起死」と「回生」は共に、死にかかった人を生き返らせることを意味する
鬼出電入, きしゅつでんにゅう, 目にも止まらない速さで現れたり消えたりすること。 また、出没が奔放自在で予測できないこと
奇想天外, きそうてんがい, 思いもよらないような珍しいこと。奇抜な発想
帰巣本能, きそうほんのう, 動物が、遠く離れた場所からでも自分の巣に戻ってくることができる、生まれつき持っている能力
帰馬放牛, きばほうぎゅう, 戦争で使った馬や牛を野に帰し放つという意味で、戦争が終わって平和になることの喩え。また、再び戦争をしないと誓うこと
生真面目, きまじめ, 堅苦しいほどに真剣で真摯な性格のこと。 真面目すぎて融通が利かないこと
旧雨今雨, きゅううこんう, 古い友人と新しい友人。 中国語では「雨」と「友」の発音が似ていることから、友人のことを洒落て表現する言葉
九夏三伏, きゅうかさんぷく, 夏の一番暑い時期のこと。 「九夏」は夏の九十日間
九牛一毛, きゅうぎゅういちもう, 問題にならないほど僅か。また、多くの牛に生えた毛の中の一本という意味で、極めて些細で取るに足りないことの喩え
九死一生, きゅうしいっしょう, ほとんど助かる見込みのない命がかろうじて助かること。 一般には「九死に一生を得る」という形で用いることが多い
急転直下, きゅうてんちょっか, 事態や情勢が急に変化して解決に向かうこと。 「急転」は急激に変化すること
強悪強善, きょうあくきょうぜん, 悪人であればあるほど、改心したときに善人になるということ。 「悪に強ければ善にも強し」と訓読する
鏡花水月, きょうかすいげつ, 鏡に映った花と水に映った月を意味する。 目には見えるが手に取ることができないものや、儚く消えていく幻の喩え
教外別伝, きょうげべつでん, 禅宗の言葉。 仏の教えは、言葉や文字で伝えられるものではなく、心から心へと伝えるものであるということ
興言利口, きょうげんりこう, 即興の巧みな話術。 その場を愉快にするために言う冗談
胸中成竹, きょうちゅうせいちく, 竹の絵を描く際、胸中にまず竹の姿を思い浮かべてから筆をとること。 成功する見込みが充分にあるという意味
驚天動地, きょうてんどうち, 世間を驚かせること。震天動地
共同戦線, きょうどうせんせん, 複数の組織が、当面する共通の目的のために協力すること。 また、その協力関係によって形成される集団のこと
興味本位, きょうみほんい, 面白いかどうかという観点だけを判断基準にする傾向
局外中立, きょくがいちゅうりつ, 対立しているどちらの側にもつかず、どちらにも影響を与えないようにする公平な立場
局面打開, きょくめんだかい, 行き詰った状態や困難な状況を切り開いて、解決の糸口を見つけ出すこと。 「局面」は、将棋や囲碁の盤面
挙足軽重, きょそくけいちょう, ある人物の言動や態度が全体に大きな影響を及ぼすこと
金衣公子, きんいこうし, ウグイスの別名。金衣鳥
金科玉条, きんかぎょくじょう, 黄金や宝石のように立派な法律。 最も大切にして守らなければならない重要な法律または規則
金言名句, きんげんめいく, 教訓的な戒めや、物事の本質を言い表した短い言葉。 「格言」や「箴言」または「忠告」などと同じ意味
金口木舌, きんこうぼくぜつ, 口が金属で舌が木で作られた大鈴の意味
金谷酒数, きんこくしゅすう, 詩を作ることができなかった者に罰として飲ませる酒のこと
金枝玉葉, きんしぎょくよう, 皇族やその子孫のこと。 花樹の枝葉が黄金や宝石のように美しく茂っていることを意味する
金城湯池, きんじょうとうち, 非常に守りが堅いことの喩え。 「金城」は、金で築いた堅固な城 「湯池」は、熱湯で満たした堀のこと
金声玉振, きんせいぎょくしん, 優れた人物として大成すること。人徳や才能や知識が調和し、よく備わっている喩え
牛飲馬食, ぎゅういんばしょく, たくさん飲んだり食べたりすること。 牛が水を飲み、馬が草を食べるように際限なく飲み食いするという意味
牛頭馬肉, ぎゅうとうばにく, 牛の頭を店頭に掲げておきながら、実際には馬の肉を売るという意味で、見せかけはしっかりしているが中身が伴っていないこと...
牛歩戦術, ぎゅうほせんじゅつ, 議会などで政策の審議引き延ばしのため、投票などの際にのろのろと行動すること
玉石混交, ぎょくせきこんこう, 良いものも悪いものも入り交じった様。 本来は「玉石混淆」と書く
玉昆金友, ぎょっこんきんゆう, 優れた才能や学識のある兄弟のこと。 他人の兄弟を褒めるときに使う言葉
議論百出, ぎろんひゃくしゅつ, 様々な意見が数多く出されて、活発に議論されること
空穴来風, くうけつらいふう, 隙を見せるから噂が流れる。 穴が開いているから、そこから風が入ってくるという意味
空谷足音, くうこくそくおん, 静寂な所に人の来訪があり、予期しない喜びが起きること。 同義語：「空谷跫音くうこくきょうおん」
空前絶後, くうぜんぜつご, 非常に珍しいこと。 これまでに例がなく、今後も起こりそうにないこと
空理空論, くうりくうろん, 実際の事情からかけ離れていて、役に立たない考え。机上の空論
苦学力行, くがくりっこう, 働いて学費を稼ぎながら、学校に通い、苦労しながら懸命に学業に励むこと
薬九層倍, くすりくそうばい, 薬の原価は安く、その九倍の値段で売れることから、利益が非常に大きいことを表す
苦節十年, くせつじゅうねん, どんなに長い間、困難な状況にあっても信念を守り通すことの喩え
九山八海, くせんはっかい, 仏教の世界観で、宇宙の中心にあるとされる「須弥山しゅみせん」を取り囲む九つの山と、山の間の八つの海のことで、この世界...
九分九厘, くぶくりん, 推測や予想などが、ほぼ確実であること
君子三戒, くんしさんかい, 年齢に応じて愼むべき三つの戒めのこと。 それぞれ、少年期の色欲、壮年期の闘争欲、老年期の物欲を指す
君子三楽, くんしさんらく, 孟子が提唱する、人徳者が持つ三つの楽しみのこと
君子万年, くんしばんねん, 高潔な人格者は長く生きるという意味。 長寿を祈願する言葉
君子不器, くんしふき, 立派な人間は、一つの使い道しかない器のようではなく、様々な役割を果たすことができるという意味
群集心理, ぐんしゅうしんり, 人が大勢いる時に起こる心理状態で、自分を見失い、集団の言葉や行動に調子を合わせてしまうこと
鶏口牛後, けいこうぎゅうご, 大きな集団や組織の末端にいて軽んじられるより、たとえ小さくても自分が長となって重んじられるほうがよいという教え
経国大業, けいこくたいぎょう, 国を治めるための大事業のこと。転じて、素晴らしい文章や書物を褒めるときに使う
傾国美女, けいこくびじょ, 絶世の美女のこと。 君主が心を奪われて国政を疎かにするほどの美女
敬天愛人, けいてんあいじん, 天を敬い人を愛すること。 西郷隆盛が座右の銘として掲げたことで有名
形名参同, けいめいさんどう, 言葉と行動が一致することを表わす
見毛相馬, けんもうそうば, 馬の姿形を見て、その良し悪しを判断するという意味。 表面だけで物事を見極めようとすることを戒める言葉
見聞覚知, けんもんかくち, 見ること、聞くこと、覚さとること、知ること
下化衆生, げけしゅじょう, 仏教用語で、すべての生き物を教え導いて迷いから救うこと。 また、人のために尽くすことを意味する
外題学問, げだいがくもん, 本の表題や芝居のタイトルだけ詳しくて内容を知らないこと。上辺だけの学問
月下氷人, げっかひょうじん, 男女の仲を取り持つ人。仲人
月下美人, げっかびじん, メキシコの熱帯雨林地帯を原産地とするサボテン科の多肉植物
月白風清, げっぱくふうせい, 月が白く輝き、風も涼しく吹いている、秋の夜の風情を形容する言葉。 「月白く風清し」と訓読する
言近旨遠, げんきんしえん, 日常的な言葉でも、深い意味が含まれているという意味
元軽白俗, げんけいはくぞく, 北宋ほくそうの時代の詩人、蘇軾そしょくが、唐の時代の詩風を酷評した言葉
言行一致, げんこういっち, 発言した内容と行動が同じで、矛盾が生じていないこと
厳正中立, げんせいちゅうりつ, どちらか片方に偏ることがなく、厳しく公正の立場を徹底して貫くこと。 「厳正」は厳しく公正を守ること
原点回帰, げんてんかいき, 物事の出発点に帰ること。基本に戻ること
言文一致, げんぶんいっち, 日常に用いられる話し言葉に近い口語体を使って文章を書くこと、もしくはその結果、口語体で書かれた文章のこと
挙一明三, こいちみょうさん, 「一」を挙げれば、ただちに「三」を理解すること。一を聞いて十を知る
高位高官, こういこうかん, 身分の高い貴族や、階級の高い役人のこと。 「位」は位階を、「官」は官職を意味する
光陰流水, こういんりゅうすい, 月日の過ぎ去る速さを水の流れに喩えた言葉。 「光陰」は、太陽と月のことで、月日・年月・長い時間を意味する
行雲流水, こううんりゅうすい, 空に漂う雲や川を流れる水のように、物事に執着することなく、自然の成り行きに身を任せて行動すること
黄花晩節, こうかばんせつ, 菊は、寒い冬の日でも見事な花を咲かせるという意味で、年老いても心身ともに健康なことの喩え
高山景行, こうざんけいこう, 人々が上を向いて見る高い山と、人々の規範となる大きな道という意味。 品性や行いが立派なこと
